Timestamp,What is your current graduation year?,What is your (intended) concentration area(s)?,How would you describe your gender identity? Check all that apply.,Which of the following do you consider yourself to be?,How would you describe your race and ethnicity? Check all that apply.,Do you participate in athletics at Brown? Select all that apply.,How would you describe your political views?,Would you drop out of Brown for a million dollars? (You cannot enroll elsewhere),To what extent do you agree with the following statement: Our country needs to reduce political correctness and cancel culture.,Which would you rather have guaranteed after college?,Have you ever ended a friendship over a difference in political opinion?,Do you consider yourself neurodivergent?,How serious a problem do you think illegal immigration is for the United States right now?,To what extent do you agree with the following statement: I feel satisfied with my social experience at Brown.,Would you rather die now or live forever?
11/19/2024 10:08:02,2025,"Physical Sciences (including math, computer science)",Woman,"Bisexual, Queer","Asian, White","Yes, club athletics",Very liberal,Yes,Somewhat disagree,Ideal romantic partner,Yes,No,Not too serious,Strongly agree,Live forever
11/19/2024 10:08:03,2027,Prefer not to answer,Woman,Prefer not to answer,Asian,"No, I do not participate in varsity or club athletics",Unsure,Yes,Somewhat agree,Dream job,No,Yes,Not too serious,Unsure,Die now
11/19/2024 10:09:27,2028,"Physical Sciences (including math, computer science)",Woman,Straight,Asian,"Yes, club athletics",Liberal,No,Strongly disagree,Dream job,No,No,Not too serious,Somewhat agree,Live forever
11/19/2024 10:10:53,2028,"Life Sciences, Physical Sciences (including math, computer science)",Woman,Straight,"Hispanic or Latino, White","No, I do not participate in varsity or club athletics",Liberal,No,Prefer not to answer,Ideal romantic partner,No,No,Prefer not to answer,Strongly disagree,Live forever
11/19/2024 10:13:17,2027,"Physical Sciences (including math, computer science)",Non-binary,"Pansexual, Queer",Asian,"No, I do not participate in varsity or club athletics",Very liberal,Yes,Strongly disagree,Dream job,Unsure,Yes,Not at all serious,Somewhat agree,Live forever
11/19/2024 10:15:48,2026,"Humanities/Arts, Physical Sciences (including math, computer science)",Man,Prefer not to answer,White,Prefer not to answer,Moderate,Yes,Strongly agree,Dream job,No,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 10:16:43,2028,Life Sciences,Woman,Straight,White,"No, I do not participate in varsity or club athletics",Moderate,No,Prefer not to answer,Ideal romantic partner,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 10:20:07,2027,"Physical Sciences (including math, computer science)",Woman,Straight,"Asian, White","No, I do not participate in varsity or club athletics",Moderate,No,Somewhat agree,Dream job,No,No,Not too serious,Somewhat agree,Live forever
11/19/2024 10:21:30,2025,"Physical Sciences (including math, computer science)",Man,Straight,Black,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,No,No,Very serious,Somewhat agree,Live forever
11/19/2024 10:22:43,2027,"Physical Sciences (including math, computer science)",Man,Straight,"Asian, White","Yes, varsity athletics",Moderate,No,Somewhat agree,Dream job,No,No,Not too serious,Strongly agree,Live forever
11/19/2024 10:22:44,2028,"Physical Sciences (including math, computer science)",Man,Straight,Asian,"Yes, club athletics",Moderate,Yes,Somewhat agree,Dream job,No,No,Not too serious,Somewhat agree,Live forever
11/19/2024 10:24:37,2028,"Humanities/Arts, Life Sciences",Man,Bisexual,Hispanic or Latino,"No, I do not participate in varsity or club athletics",Unsure,No,Strongly disagree,Dream job,No,No,Not too serious,Strongly agree,Live forever
11/19/2024 10:25:15,2026,"Social Sciences (including economics, CLPS)",Woman,Straight,Hispanic or Latino,"Yes, club athletics",Moderate,Yes,Strongly agree,Ideal romantic partner,No,Unsure,Somewhat serious,Strongly agree,Live forever
11/19/2024 10:25:40,2026,"Social Sciences (including economics, CLPS)",Man,Bisexual,Asian,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat disagree,Ideal romantic partner,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 10:26:59,2025,Life Sciences,Man,Straight,White,"Yes, club athletics",Moderate,No,Somewhat agree,Ideal romantic partner,Unsure,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 10:27:19,2028,"Life Sciences, Physical Sciences (including math, computer science)",Man,Straight,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Ideal romantic partner,No,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 10:28:46,2028,"Social Sciences (including economics, CLPS)",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,No,No,Not too serious,Strongly agree,Live forever
11/19/2024 10:29:29,2025,"Physical Sciences (including math, computer science)",Woman,"Bisexual, Queer",Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,No,Not too serious,Somewhat agree,Prefer not to answer
11/19/2024 10:30:28,2025,"Physical Sciences (including math, computer science)",Man,Bisexual,White,"No, I do not participate in varsity or club athletics",Very liberal,Yes,Strongly disagree,Ideal romantic partner,Yes,No,Not at all serious,Strongly agree,Live forever
11/19/2024 10:30:29,2026,"Physical Sciences (including math, computer science)",Woman,Lesbian,White,"No, I do not participate in varsity or club athletics",Liberal,No,Prefer not to answer,Dream job,Yes,No,Unsure,Strongly agree,Live forever
11/19/2024 10:32:18,2028,"Social Sciences (including economics, CLPS)",Woman,Straight,White,"Yes, varsity athletics",Conservative,No,Somewhat agree,Dream job,No,Prefer not to answer,Very serious,Somewhat agree,Live forever
11/19/2024 10:32:18,2028,"Social Sciences (including economics, CLPS)",Woman,Straight,White,"Yes, varsity athletics",Conservative,No,Prefer not to answer,Dream job,No,Prefer not to answer,Somewhat serious,Somewhat agree,Live forever
11/19/2024 10:34:19,2026,"Social Sciences (including economics, CLPS)",Woman,Straight,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Ideal romantic partner,No,No,Not too serious,Strongly agree,Live forever
11/19/2024 10:36:40,2025,"Social Sciences (including economics, CLPS)",Woman,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Dream job,No,Yes,Not at all serious,Somewhat agree,Die now
11/19/2024 10:37:13,2027,"Physical Sciences (including math, computer science), Social Sciences (including economics, CLPS)",Woman,Gay,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Prefer not to answer,Dream job,No,Unsure,Unsure,Somewhat agree,Live forever
11/19/2024 10:38:09,2027,Humanities/Arts,Woman,Bisexual,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Dream job,Yes,Unsure,Not too serious,Somewhat agree,Die now
11/19/2024 10:39:21,2026,Life Sciences,Woman,Straight,White,"Yes, club athletics",Conservative,No,Somewhat agree,Dream job,No,No,Somewhat serious,Strongly agree,Die now
11/19/2024 10:41:23,2025,Humanities/Arts,Woman,Straight,Asian,"Yes, club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,No,Not at all serious,Strongly agree,Live forever
11/19/2024 10:43:30,2025,Humanities/Arts,Man,Straight,"Middle Eastern or North African, White","No, I do not participate in varsity or club athletics",Conservative,No,Strongly agree,Dream job,No,No,Very serious,Strongly agree,Live forever
11/19/2024 10:47:12,2027,Life Sciences,Man,Straight,Prefer not to answer,Prefer not to answer,Prefer not to answer,No,Prefer not to answer,Dream job,No,Prefer not to answer,Prefer not to answer,Strongly agree,Prefer not to answer
11/19/2024 10:47:29,2026,"Physical Sciences (including math, computer science)",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Strongly agree,Ideal romantic partner,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 10:48:58,2026,"Physical Sciences (including math, computer science)",Woman,Straight,"Black, White","Yes, club athletics",Very liberal,No,Strongly disagree,Dream job,Yes,No,Not too serious,Strongly agree,Die now
11/19/2024 10:49:27,2027,Humanities/Arts,Woman,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,No,No,Unsure,Somewhat agree,Live forever
11/19/2024 10:51:44,2026,"Social Sciences (including economics, CLPS)",Woman,Bisexual,Asian,"No, I do not participate in varsity or club athletics",Liberal,Yes,Somewhat agree,Dream job,No,No,Unsure,Somewhat agree,Live forever
11/19/2024 10:54:21,2027,Humanities/Arts,Woman,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Dream job,No,No,Not too serious,Somewhat agree,Die now
11/19/2024 10:56:57,2028,Life Sciences,Man,Bisexual,Hispanic or Latino,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Dream job,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 10:58:44,2025,"Humanities/Arts, Physical Sciences (including math, computer science)",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,Yes,Somewhat disagree,Dream job,Unsure,No,Not too serious,Somewhat agree,Live forever
11/19/2024 10:59:03,2025,"Physical Sciences (including math, computer science)",Man,Straight,"Asian, White","Yes, club athletics",Liberal,No,Somewhat disagree,Dream job,Yes,No,Not too serious,Somewhat agree,Live forever
11/19/2024 11:04:22,2025,"Social Sciences (including economics, CLPS)",Woman,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,No,Not at all serious,Strongly agree,Live forever
11/19/2024 11:09:49,2025,Life Sciences,Woman,Straight,White,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat agree,Ideal romantic partner,No,Unsure,Not too serious,Somewhat agree,Die now
11/19/2024 11:11:52,2026,"Physical Sciences (including math, computer science)",Woman,Bisexual,Native Hawaiian or Pacific Islander,"Yes, varsity athletics",Liberal,Yes,Somewhat agree,Dream job,Yes,Yes,Not at all serious,Somewhat disagree,Live forever
11/19/2024 11:16:04,2027.5,Humanities/Arts,Woman,Lesbian,Black,"Yes, club athletics",Moderate,No,Somewhat agree,Dream job,No,Unsure,Somewhat serious,Somewhat agree,Live forever
11/19/2024 11:18:18,2026,"Physical Sciences (including math, computer science)",Man,Questioning,"Asian, White","Yes, club athletics",Liberal,No,Strongly agree,Ideal romantic partner,Unsure,Yes,Not too serious,Strongly agree,Live forever
11/19/2024 11:20:51,2028,"Social Sciences (including economics, CLPS)",Woman,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,No,Yes,Somewhat serious,Somewhat disagree,Die now
11/19/2024 11:26:18,2028,"Physical Sciences (including math, computer science)",Man,Straight,White,"Yes, varsity athletics",Moderate,No,Somewhat agree,Ideal romantic partner,No,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 11:29:42,2026.5,"Life Sciences, Physical Sciences (including math, computer science)",Man,Bisexual,Asian,"Yes, club athletics",Moderate,No,Somewhat agree,Ideal romantic partner,No,Yes,Somewhat serious,Somewhat agree,Live forever
11/19/2024 11:32:27,2027,"Physical Sciences (including math, computer science)",Man,Gay,Middle Eastern or North African,"No, I do not participate in varsity or club athletics",Liberal,Yes,Somewhat disagree,Dream job,Unsure,No,Somewhat serious,Somewhat agree,Die now
11/19/2024 11:35:22,2025,"Social Sciences (including economics, CLPS)",Woman,Straight,"Asian, White","No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,No,No,Not at all serious,Strongly agree,Live forever
11/19/2024 11:40:40,2028,"Social Sciences (including economics, CLPS)",Woman,Straight,Asian,"Yes, varsity athletics",Moderate,No,Somewhat agree,Dream job,No,No,Not too serious,Somewhat disagree,Live forever
11/19/2024 11:43:58,2028,"Physical Sciences (including math, computer science)",Man,Straight,Hispanic or Latino,"No, I do not participate in varsity or club athletics",Moderate,No,Strongly agree,Dream job,No,Unsure,Very serious,Somewhat agree,Die now
11/19/2024 11:45:49,2025,"Social Sciences (including economics, CLPS)",Woman,"Straight, Questioning",White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,No,No,Unsure,Strongly agree,Live forever
11/19/2024 11:47:56,2027,"Physical Sciences (including math, computer science)",Woman,Bisexual,Asian,"Yes, varsity athletics",Moderate,Yes,Somewhat agree,Dream job,Yes,No,Unsure,Somewhat agree,Live forever
11/19/2024 11:49:59,2028,Life Sciences,Woman,Straight,Black,"No, I do not participate in varsity or club athletics",Moderate,No,Somewhat agree,Dream job,No,No,Not too serious,Somewhat agree,Live forever
11/19/2024 11:51:09,2028,"Humanities/Arts, Life Sciences",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,No,Not too serious,Somewhat agree,Live forever
11/19/2024 11:52:48,2026,"Physical Sciences (including math, computer science)",Man,Straight,White,"Yes, club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,No,Unsure,Not too serious,Strongly agree,Prefer not to answer
11/19/2024 11:54:50,2025,Life Sciences,Woman,Straight,Asian,"Yes, club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,No,Not too serious,Somewhat agree,Live forever
11/19/2024 11:56:39,2025,"Social Sciences (including economics, CLPS)",Woman,Bisexual,"Asian, Hispanic or Latino","No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat agree,Prefer not to answer,Yes,No,Not too serious,Somewhat agree,Die now
11/19/2024 11:57:58,2025,"Social Sciences (including economics, CLPS)",Woman,Straight,White,"No, I do not participate in varsity or club athletics",Moderate,No,Strongly agree,Ideal romantic partner,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 11:58:07,2025,"Physical Sciences (including math, computer science)",Woman,Straight,White,"No, I do not participate in varsity or club athletics",Moderate,No,Strongly agree,Ideal romantic partner,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 11:58:10,2025,Life Sciences,Man,Straight,White,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat disagree,Dream job,Yes,No,Not at all serious,Strongly agree,Die now
