Timestamp,What is your current graduation year?,How would you describe your race and ethnicity? Check all that apply.,What is your intended concentration area(s)?,How would you describe your gender identity? Check all that apply.,Do you identify as LGBTQ+?,"Overall, how would you describe your political views relative to those of your parents? ",Have you ever been evaluated by Brown EMS (Emergency Medical Services)? Select all that apply.,How old was your mother when she had you? Enter -1 if unsure.,Were you allowed to watch SpongeBob SquarePants as a kid?,How did you meet your most recent significant other? Pick the option that best applies.,What percentage of Brown students do you think come from a family in the top 1% of household incomes?,"What is the minimum salary you would require to work in a role that directly conflicts with your morals? 

Enter -1 if you would not do this for any amount of money.",Which of the following substances have you used recreationally in the past six months?,Do you change with your blinds open?,Column 1,Column 2
3/4/2025 10:19:04,2027,"Asian, White",Physical Sciences,Woman,No,My views are similar to those of my parents,No,35,No,High school,8,-1,None of the above,No,29.23788493,
3/4/2025 11:08:14,2027,White,"Humanities/ Arts, Social Sciences",Woman,Yes,My views are similar to those of my parents,No,-1,Yes,mistake,38,-1,Prefer not to answer,No,,29.07678245
3/4/2025 11:13:18,2025,Asian,Physical Sciences,Woman,No,My views are much more liberal,No,37,No,Class,35,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 11:18:38,2028,"Asian, Hispanic or Latino, White","Humanities/ Arts, Social Sciences",Man,No,My views are similar to those of my parents,No,-1,Yes,Class,20,-1,Alcohol,No,,30
3/4/2025 11:27:22,2028,Hispanic or Latino,Life Sciences,Man,Yes,My views are somewhat more liberal,No,24,Yes,I have not had a significant other,65,-1,None of the above,No,,
3/4/2025 11:33:47,2027,Asian,Life Sciences,Woman,No,My views are somewhat more liberal,No,33,Yes,I have not had a significant other,6,-1,None of the above,No,,500000
3/4/2025 11:35:17,2025,Asian,Physical Sciences,Woman,Unsure,My views are somewhat more liberal,No,30,Yes,Prefer not to answer,30,-1,Alcohol,No,,300000
3/4/2025 11:38:10,2027,Asian,Physical Sciences,Man,No,My views are similar to those of my parents,No,34,Yes,I have not had a significant other,50,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 11:43:28,2027,"Asian, White","Humanities/ Arts, Social Sciences",Woman,Yes,My views are much more liberal,No,41,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",15,-1,"Alcohol, Marijuana, Nicotine, Psilocybin (Psychedelic mushrooms)",No,,
3/4/2025 11:43:44,2027,White,"Humanities/ Arts, Social Sciences",Man,No,My views are somewhat more liberal,No,33,Yes,Dating app,10,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/4/2025 11:44:09,2027,Asian,Physical Sciences,Man,No,My views are somewhat more liberal,"Yes, for a different reason",34,Yes,High school,30,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 11:44:53,2025,White,Social Sciences,Woman,No,My views are similar to those of my parents,No,42,Yes,I have not had a significant other,30,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/4/2025 11:45:31,2025,White,Physical Sciences,Woman,No,My views are similar to those of my parents,No,30,Yes,Dating app,20,-1,Alcohol,No,,
3/4/2025 11:46:54,2028,White,Social Sciences,Man,No,My views are somewhat more liberal,No,36,Unsure,I have not had a significant other,15,-1,None of the above,No,,
3/4/2025 11:48:23,2028,Asian,Life Sciences,Woman,No,My views are much more liberal,No,34,No,Mutual friends/met as friends,30,-1,None of the above,No,,
3/4/2025 11:49:12,2025,Hispanic or Latino,Life Sciences,Man,No,My views are much more liberal,No,34,Yes,Social media,50,-1,Alcohol,No,,
3/4/2025 11:49:51,2026,"Asian, White",Physical Sciences,Man,Unsure,My views are somewhat more liberal,No,30,No,High school,10,-1,Alcohol,No,,
3/4/2025 11:51:18,2028,"Asian, White",Life Sciences,Woman,Unsure,My views are somewhat more liberal,No,35,No,I have not had a significant other,7,-1,None of the above,No,,
3/4/2025 11:51:29,2026,"Asian, White","Physical Sciences, Social Sciences",Woman,No,My views are similar to those of my parents,No,31,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",30,-1,"Alcohol, Nicotine","Yes, but I don't think people can see me",,
3/4/2025 11:51:32,2028,"Asian, Black",Life Sciences,Woman,Yes,My views are somewhat more liberal,No,40,Yes,I have not had a significant other,20,-1,"Alcohol, Marijuana, Nicotine",No,,
3/4/2025 11:51:56,2028,Asian,Life Sciences,Woman,No,My views are somewhat more liberal,No,33,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",5,-1,Alcohol,No,,
3/4/2025 11:53:34,2028,White,"Life Sciences, Physical Sciences",Woman,Yes,My views are somewhat more liberal,No,34,Yes,High school,20,-1,"Alcohol, Marijuana",No,,
3/4/2025 11:54:01,2026,Asian,Social Sciences,Man,No,My views are much more liberal,No,31,No,I have not had a significant other,20,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 11:55:22,2027,White,Social Sciences,Woman,No,My views are somewhat more liberal,No,32,Yes,Dating app,19,-1,"Alcohol, Marijuana",No,,
3/4/2025 11:57:45,2027,"Hispanic or Latino, White",Physical Sciences,Man,No,My views are somewhat more liberal,No,34,Yes,I have not had a significant other,25,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 11:58:37,2027,Middle Eastern or North African,"Humanities/ Arts, Physical Sciences",Man,No,My views are similar to those of my parents,No,35,Yes,I have not had a significant other,10,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 11:59:19,2028,White,Physical Sciences,Woman,No,My views are much more liberal,No,23,No,I have not had a significant other,25,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 12:00:27,2025,White,Physical Sciences,Non-binary,Yes,My views are much more liberal,No,31,No,Mutual friends/met as friends,30,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana, Nicotine","Yes, and I do think people can see me",,
3/4/2025 12:01:09,2028,Asian,"Humanities/ Arts, Life Sciences",Man,No,My views are somewhat more conservative,No,30,Prefer not to answer,High school,10,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 12:02:31,2026,Middle Eastern or North African,Physical Sciences,Woman,Yes,My views are much more liberal,No,40,Yes,Party/social event,20,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana","Yes, and I do think people can see me",,
3/4/2025 12:02:43,2025,White,Humanities/ Arts,"Non-binary, Questioning, Unsure",Yes,My views are somewhat more liberal,No,33,Yes,Dorm,20,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/4/2025 12:12:41,2028,Asian,Prefer not to answer,Woman,Unsure,Prefer not to answer,No,30,Yes,I have not had a significant other,20,-1,None of the above,No,,
3/4/2025 12:13:27,2028,Black,Physical Sciences,Woman,Yes,My views are much more liberal,"Yes, for a different reason",-1,Yes,High school,30,-1,None of the above,No,,
3/4/2025 12:18:11,2028,White,Physical Sciences,Man,Yes,My views are somewhat more liberal,No,32,Yes,I have not had a significant other,30,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 12:20:38,2028,Asian,"Humanities/ Arts, Physical Sciences",Man,No,My views are much more liberal,"Yes, for a different reason",24,Yes,I have not had a significant other,10,-1,None of the above,No,,
3/4/2025 12:21:31,2028,"Hispanic or Latino, White","Humanities/ Arts, Social Sciences",Woman,No,My views are much more liberal,No,-1,No,High school,60,-1,None of the above,"Yes, but I don't think people can see me",,82228143.82
3/4/2025 12:23:37,2028,Hispanic or Latino,Physical Sciences,Man,No,My views are somewhat more liberal,No,35,No,High school,23,-1,Alcohol,No,,
3/4/2025 12:23:49,2026,Asian,Physical Sciences,"Man, Non-binary",Unsure,My views are somewhat more liberal,No,-1,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",10,-1,Alcohol,"Yes, and I do think people can see me",,82497350.85
3/4/2025 12:27:29,2028,Asian,"Humanities/ Arts, Life Sciences",Man,No,My views are somewhat more liberal,No,31,Yes,I have not had a significant other,40,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 12:27:42,2026,White,"Life Sciences, Physical Sciences",Woman,No,My views are somewhat more liberal,No,34,No,Mutual friends/met as friends,70,-1,"Alcohol, Marijuana",No,,
3/4/2025 12:37:31,2027,Asian,"Humanities/ Arts, Physical Sciences",Man,Prefer not to answer,My views are much more liberal,Prefer not to answer,-1,Yes,Class,20,-1,Prefer not to answer,No,,83041095.74
3/4/2025 12:38:16,2025,"Asian, Native Hawaiian or Pacific Islander",Life Sciences,Woman,No,My views are similar to those of my parents,No,33,Yes,I have not had a significant other,21,-1,Alcohol,No,,
3/4/2025 12:40:01,2027,Asian,"Humanities/ Arts, Social Sciences",Woman,No,My views are much more liberal,No,-1,Yes,Mutual friends/met as friends,9,-1,Alcohol,"Yes, but I don't think people can see me",,500000
3/4/2025 12:42:45,2028,Asian,Social Sciences,Woman,No,My views are somewhat more liberal,No,-1,Yes,Prefer not to answer,78,-1,None of the above,Prefer not to answer,,
3/4/2025 12:42:57,2028,Black,Physical Sciences,Woman,No,My views are somewhat more liberal,No,18,Yes,I have not had a significant other,55,-1,"Alcohol, Marijuana, Nicotine",No,,
3/4/2025 12:43:15,2028,"Hispanic or Latino, White","Humanities/ Arts, Physical Sciences",Woman,Yes,My views are somewhat more liberal,No,-1,No,Class,10,-1,None of the above,No,,
3/4/2025 12:45:28,2025,Hispanic or Latino,Physical Sciences,Woman,No,My views are somewhat more liberal,No,21,Yes,I have not had a significant other,30,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 12:46:20,2026,Asian,Physical Sciences,Man,No,My views are similar to those of my parents,No,30,Unsure,Dorm,70,-1,"Alcohol, Marijuana",No,,
3/4/2025 12:47:43,2028,White,Physical Sciences,Man,No,My parents have significantly different political views from each other,"Yes, for a different reason",-1,Unsure,I have not had a significant other,20,-1,None of the above,"Yes, and I do think people can see me",,
3/4/2025 12:48:02,2027,White,Physical Sciences,Man,No,My views are similar to those of my parents,No,-1,No,High school,35,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 12:51:04,2028,White,"Humanities/ Arts, Physical Sciences",Woman,Yes,My views are somewhat more liberal,No,30,Yes,High school,10,-1,None of the above,No,,
3/4/2025 12:51:09,2027,"Asian, Hispanic or Latino","Humanities/ Arts, Social Sciences",Woman,No,My views are similar to those of my parents,No,33,No,I have not had a significant other,20,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 12:53:45,2028,White,Humanities/ Arts,Man,Yes,My views are somewhat more liberal,No,30,Yes,High school,15,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 12:54:35,2028,White,Social Sciences,Woman,No,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol",31,Yes,High school,30,-1,Alcohol,No,,
3/4/2025 12:55:49,2026,White,Humanities/ Arts,Woman,Yes,My views are somewhat more liberal,"Yes, for a different reason",36,Yes,Class,25,-1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/4/2025 12:56:27,2028,White,Social Sciences,Woman,Yes,My parents have significantly different political views from each other,No,31,Yes,Dating app,10,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/4/2025 13:01:24,2025,White,Social Sciences,Woman,No,My views are somewhat more liberal,"Yes, for a different reason",34,No,Dating app,25,-1,Alcohol,No,,
3/4/2025 13:05:16,2027,White,"Humanities/ Arts, Life Sciences",Woman,No,My views are similar to those of my parents,No,36,Unsure,Mutual friends/met as friends,10,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/4/2025 13:05:48,2025,Black,Humanities/ Arts,Woman,No,My views are much more liberal,"Yes, for a different reason",-1,Yes,I have not had a significant other,20,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 13:16:54,2027,Black,Social Sciences,Man,No,My views are somewhat more conservative,No,29,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",35,-1,"Alcohol, LSD/Acid, Marijuana, MDMA (Ecstasy/Molly), Nicotine, Psilocybin (Psychedelic mushrooms)","Yes, and I do think people can see me",,
3/4/2025 13:34:11,2028,Middle Eastern or North African,"Humanities/ Arts, Life Sciences",Woman,Yes,My views are somewhat more liberal,No,28,No,I have not had a significant other,30,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 13:43:33,2026,Asian,Physical Sciences,Man,No,Unsure,No,-1,Yes,Class,80,-1,None of the above,No,,
3/4/2025 13:45:48,2027,Prefer not to answer,Life Sciences,Man,No,My views are somewhat more liberal,No,33,Yes,High school,40,-1,"Alcohol, Marijuana",No,,
3/4/2025 13:46:32,2026,White,Physical Sciences,Man,Yes,My views are much more liberal,No,30,Yes,Dorm,85,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 13:51:22,2026,Hispanic or Latino,Social Sciences,Woman,No,My views are somewhat more liberal,No,23,Yes,Mutual friends/met as friends,40,-1,None of the above,No,,
3/4/2025 13:52:53,2028,White,Physical Sciences,Woman,Unsure,My views are somewhat more liberal,No,35,Yes,High school,40,-1,"Alcohol, Marijuana, Nicotine","Yes, and I do think people can see me",,
3/4/2025 13:52:58,2025,"Black, White",Physical Sciences,Man,No,My views are somewhat more liberal,"Yes, for a different reason",-1,Yes,Mutual friends/met as friends,15,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 13:58:44,2025,White,"Humanities/ Arts, Social Sciences",Man,No,My views are much more liberal,No,39,Yes,Dating app,40,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/4/2025 14:02:31,2025,Black,Physical Sciences,Woman,Yes,My views are somewhat more liberal,"Yes, for a different reason",41,No,Party/social event,10,-1,Alcohol,No,,
3/4/2025 14:10:34,2025,White,"Humanities/ Arts, Life Sciences",Man,No,My views are somewhat more liberal,No,32,No,I have not had a significant other,7,-1,Alcohol,No,,
3/4/2025 14:11:46,2027,Asian,"Humanities/ Arts, Social Sciences",Man,No,My views are somewhat more conservative,No,31,Unsure,I have not had a significant other,20,-1,None of the above,"Yes, and I do think people can see me",,
3/4/2025 14:12:53,2026,White,Life Sciences,Woman,No,My views are somewhat more liberal,No,33,Yes,I have not had a significant other,5,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 14:23:34,2025,White,Social Sciences,Man,No,My views are much more conservative,No,33,Unsure,Mutual friends/met as friends,45,-1,"Alcohol, Cocaine, Marijuana, Nicotine, Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me",,
3/4/2025 14:27:21,2025,White,"Physical Sciences, Social Sciences",Non-binary,Yes,My views are somewhat more liberal,No,33,Yes,Party/social event,20,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/4/2025 14:28:24,2025,"Asian, White",Humanities/ Arts,Non-binary,Yes,My views are much more liberal,"Yes, for a different reason",40,No,Class,60,-1,"Alcohol, Cocaine, Inhalants (Poppers/Whip-its), Ketamine, Marijuana, Nicotine, Psilocybin (Psychedelic mushrooms)",No,,
3/4/2025 14:30:05,2025,Hispanic or Latino,Physical Sciences,Man,No,My views are somewhat more liberal,No,28,No,"Extracurricular activities (athletics, clubs, other campus organizations)",30,-1,None of the above,No,,
3/4/2025 14:39:17,2027,Asian,Physical Sciences,Man,No,My views are somewhat more liberal,No,32,Yes,Party/social event,8,-1,"Alcohol, Marijuana, Psilocybin (Psychedelic mushrooms)",No,,
3/4/2025 14:40:59,2026,Asian,Social Sciences,Woman,No,My views are somewhat more liberal,No,31,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",20,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 14:43:03,2025,Asian,Humanities/ Arts,"Woman, Non-binary",Yes,My views are much more liberal,No,27,Yes,Dating app,10,-1,Alcohol,No,,
